Embarked,Class,Age,Fare,isFemale,survied
Southampton,3rd Class,22,7.25,male,0
Cherbourg,1rd Class,38,71.2833,female,1
Southampton,3rd Class,26,7.925,female,1
Southampton,1rd Class,35,53.1,female,1
Southampton,3rd Class,35,8.05,male,0
Queenstown,3rd Class,29.69911765,8.4583,male,0
Southampton,1rd Class,54,51.8625,male,0
Southampton,3rd Class,2,21.075,male,0
Southampton,3rd Class,27,11.1333,female,1
Cherbourg,2rd Class,14,30.0708,female,1
Southampton,3rd Class,4,16.7,female,1
Southampton,1rd Class,58,26.55,female,1
Southampton,3rd Class,20,8.05,male,0
Southampton,3rd Class,39,31.275,male,0
Southampton,3rd Class,14,7.8542,female,0
Southampton,2rd Class,55,16,female,1
Queenstown,3rd Class,2,29.125,male,0
Southampton,2rd Class,29.69911765,13,male,1
Southampton,3rd Class,31,18,female,0
Cherbourg,3rd Class,29.69911765,7.225,female,1
Southampton,2rd Class,35,26,male,0
Southampton,2rd Class,34,13,male,1
Queenstown,3rd Class,15,8.0292,female,1
Southampton,1rd Class,28,35.5,male,1
Southampton,3rd Class,8,21.075,female,0
Southampton,3rd Class,38,31.3875,female,1
Cherbourg,3rd Class,29.69911765,7.225,male,0
Southampton,1rd Class,19,263,male,0
Queenstown,3rd Class,29.69911765,7.8792,female,1
Southampton,3rd Class,29.69911765,7.8958,male,0
Cherbourg,1rd Class,40,27.7208,male,0
Cherbourg,1rd Class,29.69911765,146.5208,female,1
Queenstown,3rd Class,29.69911765,7.75,female,1
Southampton,2rd Class,66,10.5,male,0
Cherbourg,1rd Class,28,82.1708,male,0
Southampton,1rd Class,42,52,male,0
Cherbourg,3rd Class,29.69911765,7.2292,male,1
Southampton,3rd Class,21,8.05,male,0
Southampton,3rd Class,18,18,female,0
Cherbourg,3rd Class,14,11.2417,female,1
Southampton,3rd Class,40,9.475,female,0
Southampton,2rd Class,27,21,female,0
Cherbourg,3rd Class,29.69911765,7.8958,male,0
Cherbourg,2rd Class,3,41.5792,female,1
Queenstown,3rd Class,19,7.8792,female,1
Southampton,3rd Class,29.69911765,8.05,male,0
Queenstown,3rd Class,29.69911765,15.5,male,0
Queenstown,3rd Class,29.69911765,7.75,female,1
Cherbourg,3rd Class,29.69911765,21.6792,male,0
Southampton,3rd Class,18,17.8,female,0
Southampton,3rd Class,7,39.6875,male,0
Southampton,3rd Class,21,7.8,male,0
Cherbourg,1rd Class,49,76.7292,female,1
Southampton,2rd Class,29,26,female,1
Cherbourg,1rd Class,65,61.9792,male,0
Southampton,1rd Class,29.69911765,35.5,male,1
Southampton,2rd Class,21,10.5,female,1
Cherbourg,3rd Class,28.5,7.2292,male,0
Southampton,2rd Class,5,27.75,female,1
Southampton,3rd Class,11,46.9,male,0
Cherbourg,3rd Class,22,7.2292,male,0
Unknown,1rd Class,38,80,female,1
Southampton,1rd Class,45,83.475,male,0
Southampton,3rd Class,4,27.9,male,0
Cherbourg,1rd Class,29.69911765,27.7208,male,0
Cherbourg,3rd Class,29.69911765,15.2458,male,1
Southampton,2rd Class,29,10.5,female,1
Southampton,3rd Class,19,8.1583,male,0
Southampton,3rd Class,17,7.925,female,1
Southampton,3rd Class,26,8.6625,male,0
Southampton,2rd Class,32,10.5,male,0
Southampton,3rd Class,16,46.9,female,0
Southampton,2rd Class,21,73.5,male,0
Cherbourg,3rd Class,26,14.4542,male,0
Southampton,3rd Class,32,56.4958,male,1
Southampton,3rd Class,25,7.65,male,0
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,2rd Class,0.83,29,male,1
Southampton,3rd Class,30,12.475,female,1
Southampton,3rd Class,22,9,male,0
Southampton,3rd Class,29,9.5,male,1
Queenstown,3rd Class,29.69911765,7.7875,female,1
Southampton,1rd Class,28,47.1,male,0
Southampton,2rd Class,17,10.5,female,1
Southampton,3rd Class,33,15.85,female,1
Southampton,3rd Class,16,34.375,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,1rd Class,23,263,female,1
Southampton,3rd Class,24,8.05,male,0
Southampton,3rd Class,29,8.05,male,0
Southampton,3rd Class,20,7.8542,male,0
Southampton,1rd Class,46,61.175,male,0
Southampton,3rd Class,26,20.575,male,0
Southampton,3rd Class,59,7.25,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Cherbourg,1rd Class,71,34.6542,male,0
Cherbourg,1rd Class,23,63.3583,male,1
Southampton,2rd Class,34,23,female,1
Southampton,2rd Class,34,26,male,0
Southampton,3rd Class,28,7.8958,female,0
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,1rd Class,21,77.2875,male,0
Southampton,3rd Class,33,8.6542,male,0
Southampton,3rd Class,37,7.925,male,0
Southampton,3rd Class,28,7.8958,male,0
Southampton,3rd Class,21,7.65,female,1
Southampton,3rd Class,29.69911765,7.775,male,1
Southampton,3rd Class,38,7.8958,male,0
Queenstown,3rd Class,29.69911765,24.15,female,1
Southampton,1rd Class,47,52,male,0
Cherbourg,3rd Class,14.5,14.4542,female,0
Southampton,3rd Class,22,8.05,male,0
Southampton,3rd Class,20,9.825,female,0
Cherbourg,3rd Class,17,14.4583,female,0
Southampton,3rd Class,21,7.925,male,0
Queenstown,3rd Class,70.5,7.75,male,0
Southampton,2rd Class,29,21,male,0
Cherbourg,1rd Class,24,247.5208,male,0
Southampton,3rd Class,2,31.275,female,0
Southampton,2rd Class,21,73.5,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Cherbourg,2rd Class,32.5,30.0708,male,0
Southampton,2rd Class,32.5,13,female,1
Southampton,1rd Class,54,77.2875,male,0
Cherbourg,3rd Class,12,11.2417,male,1
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,3rd Class,24,7.1417,male,1
Cherbourg,3rd Class,29.69911765,22.3583,female,1
Southampton,3rd Class,45,6.975,male,0
Cherbourg,3rd Class,33,7.8958,male,0
Southampton,3rd Class,20,7.05,male,0
Southampton,3rd Class,47,14.5,female,0
Southampton,2rd Class,29,26,female,1
Southampton,2rd Class,25,13,male,0
Cherbourg,2rd Class,23,15.0458,male,0
Southampton,1rd Class,19,26.2833,female,1
Southampton,1rd Class,37,53.1,male,0
Southampton,3rd Class,16,9.2167,male,0
Cherbourg,1rd Class,24,79.2,male,0
Cherbourg,3rd Class,29.69911765,15.2458,female,0
Southampton,3rd Class,22,7.75,female,1
Southampton,3rd Class,24,15.85,female,1
Queenstown,3rd Class,19,6.75,male,0
Southampton,2rd Class,18,11.5,male,0
Southampton,2rd Class,19,36.75,male,0
Southampton,3rd Class,27,7.7958,male,1
Southampton,3rd Class,9,34.375,female,0
Southampton,2rd Class,36.5,26,male,0
Southampton,2rd Class,42,13,male,0
Southampton,2rd Class,51,12.525,male,0
Southampton,1rd Class,22,66.6,female,1
Southampton,3rd Class,55.5,8.05,male,0
Southampton,3rd Class,40.5,14.5,male,0
Southampton,3rd Class,29.69911765,7.3125,male,0
Cherbourg,1rd Class,51,61.3792,male,0
Queenstown,3rd Class,16,7.7333,female,1
Southampton,3rd Class,30,8.05,male,0
Southampton,3rd Class,29.69911765,8.6625,male,0
Southampton,3rd Class,29.69911765,69.55,male,0
Southampton,3rd Class,44,16.1,male,0
Southampton,2rd Class,40,15.75,female,1
Southampton,3rd Class,26,7.775,male,0
Southampton,3rd Class,17,8.6625,male,0
Southampton,3rd Class,1,39.6875,male,0
Southampton,3rd Class,9,20.525,male,1
Southampton,1rd Class,29.69911765,55,female,1
Southampton,3rd Class,45,27.9,female,0
Southampton,1rd Class,29.69911765,25.925,male,0
Southampton,3rd Class,28,56.4958,male,0
Southampton,1rd Class,61,33.5,male,0
Queenstown,3rd Class,4,29.125,male,0
Southampton,3rd Class,1,11.1333,female,1
Southampton,3rd Class,21,7.925,male,0
Cherbourg,1rd Class,56,30.6958,male,0
Southampton,3rd Class,18,7.8542,male,0
Southampton,3rd Class,29.69911765,25.4667,male,0
Cherbourg,1rd Class,50,28.7125,female,0
Southampton,2rd Class,30,13,male,0
Southampton,3rd Class,36,0,male,0
Southampton,3rd Class,29.69911765,69.55,female,0
Cherbourg,2rd Class,29.69911765,15.05,male,0
Southampton,3rd Class,9,31.3875,male,0
Southampton,2rd Class,1,39,male,1
Southampton,3rd Class,4,22.025,female,1
Southampton,1rd Class,29.69911765,50,male,0
Queenstown,3rd Class,29.69911765,15.5,female,1
Southampton,1rd Class,45,26.55,male,1
Queenstown,3rd Class,40,15.5,male,0
Southampton,3rd Class,36,7.8958,male,0
Southampton,2rd Class,32,13,female,1
Southampton,2rd Class,19,13,male,0
Southampton,3rd Class,19,7.8542,female,1
Southampton,2rd Class,3,26,male,1
Cherbourg,1rd Class,44,27.7208,female,1
Cherbourg,1rd Class,58,146.5208,female,1
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,3rd Class,42,8.4042,male,0
Queenstown,3rd Class,29.69911765,7.75,female,1
Southampton,2rd Class,24,13,female,0
Southampton,3rd Class,28,9.5,male,0
Southampton,3rd Class,29.69911765,69.55,male,0
Southampton,3rd Class,34,6.4958,male,0
Cherbourg,3rd Class,45.5,7.225,male,0
Southampton,3rd Class,18,8.05,male,1
Southampton,3rd Class,2,10.4625,female,0
Southampton,3rd Class,32,15.85,male,0
Cherbourg,3rd Class,26,18.7875,male,1
Queenstown,3rd Class,16,7.75,female,1
Cherbourg,1rd Class,40,31,male,1
Southampton,3rd Class,24,7.05,male,0
Southampton,2rd Class,35,21,female,1
Southampton,3rd Class,22,7.25,male,0
Southampton,2rd Class,30,13,male,0
Queenstown,3rd Class,29.69911765,7.75,male,0
Cherbourg,1rd Class,31,113.275,female,1
Southampton,3rd Class,27,7.925,female,1
Southampton,2rd Class,42,27,male,0
Cherbourg,1rd Class,32,76.2917,female,1
Southampton,2rd Class,30,10.5,male,0
Southampton,3rd Class,16,8.05,male,1
Southampton,2rd Class,27,13,male,0
Southampton,3rd Class,51,8.05,male,0
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,1rd Class,38,90,male,1
Southampton,3rd Class,22,9.35,male,0
Southampton,2rd Class,19,10.5,male,1
Southampton,3rd Class,20.5,7.25,male,0
Southampton,2rd Class,18,13,male,0
Southampton,3rd Class,29.69911765,25.4667,female,0
Southampton,1rd Class,35,83.475,female,1
Southampton,3rd Class,29,7.775,male,0
Southampton,2rd Class,59,13.5,male,0
Southampton,3rd Class,5,31.3875,female,1
Southampton,2rd Class,24,10.5,male,0
Southampton,3rd Class,29.69911765,7.55,female,0
Southampton,2rd Class,44,26,male,0
Southampton,2rd Class,8,26.25,female,1
Southampton,2rd Class,19,10.5,male,0
Southampton,2rd Class,33,12.275,male,0
Cherbourg,3rd Class,29.69911765,14.4542,female,0
Queenstown,3rd Class,29.69911765,15.5,female,1
Southampton,2rd Class,29,10.5,male,0
Southampton,3rd Class,22,7.125,male,0
Cherbourg,3rd Class,30,7.225,male,0
Queenstown,1rd Class,44,90,male,0
Southampton,3rd Class,25,7.775,female,0
Southampton,2rd Class,24,14.5,female,1
Southampton,1rd Class,37,52.5542,male,1
Southampton,2rd Class,54,26,male,0
Southampton,3rd Class,29.69911765,7.25,male,0
Southampton,3rd Class,29,10.4625,female,0
Southampton,1rd Class,62,26.55,male,0
Southampton,3rd Class,30,16.1,male,0
Southampton,3rd Class,41,20.2125,female,0
Cherbourg,3rd Class,29,15.2458,female,1
Cherbourg,1rd Class,29.69911765,79.2,female,1
Southampton,1rd Class,30,86.5,female,1
Cherbourg,1rd Class,35,512.3292,female,1
Southampton,2rd Class,50,26,female,1
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,3rd Class,3,31.3875,male,1
Southampton,1rd Class,52,79.65,male,0
Southampton,1rd Class,40,0,male,0
Queenstown,3rd Class,29.69911765,7.75,female,0
Southampton,2rd Class,36,10.5,male,0
Southampton,3rd Class,16,39.6875,male,0
Southampton,3rd Class,25,7.775,male,1
Southampton,1rd Class,58,153.4625,female,1
Southampton,1rd Class,35,135.6333,female,1
Southampton,1rd Class,29.69911765,31,male,0
Southampton,3rd Class,25,0,male,1
Southampton,2rd Class,41,19.5,female,1
Cherbourg,1rd Class,37,29.7,male,0
Queenstown,3rd Class,29.69911765,7.75,female,1
Southampton,1rd Class,63,77.9583,female,1
Southampton,3rd Class,45,7.75,female,0
Southampton,2rd Class,29.69911765,0,male,0
Queenstown,3rd Class,7,29.125,male,0
Southampton,3rd Class,35,20.25,female,1
Queenstown,3rd Class,65,7.75,male,0
Southampton,3rd Class,28,7.8542,male,0
Southampton,3rd Class,16,9.5,male,0
Southampton,3rd Class,19,8.05,male,1
Southampton,1rd Class,29.69911765,26,male,0
Cherbourg,3rd Class,33,8.6625,male,0
Southampton,3rd Class,30,9.5,male,1
Southampton,3rd Class,22,7.8958,male,0
Southampton,2rd Class,42,13,male,1
Queenstown,3rd Class,22,7.75,female,1
Southampton,1rd Class,26,78.85,female,1
Cherbourg,1rd Class,19,91.0792,female,1
Cherbourg,2rd Class,36,12.875,male,0
Southampton,3rd Class,24,8.85,female,0
Southampton,3rd Class,24,7.8958,male,0
Cherbourg,1rd Class,29.69911765,27.7208,male,0
Cherbourg,3rd Class,23.5,7.2292,male,0
Southampton,1rd Class,2,151.55,female,0
Southampton,1rd Class,29.69911765,30.5,male,1
Cherbourg,1rd Class,50,247.5208,female,1
Queenstown,3rd Class,29.69911765,7.75,female,1
Queenstown,3rd Class,29.69911765,23.25,male,1
Southampton,3rd Class,19,0,male,0
Queenstown,2rd Class,29.69911765,12.35,female,1
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,1rd Class,0.92,151.55,male,1
Cherbourg,1rd Class,29.69911765,110.8833,female,1
Cherbourg,1rd Class,17,108.9,female,1
Cherbourg,2rd Class,30,24,male,0
Cherbourg,1rd Class,30,56.9292,female,1
Cherbourg,1rd Class,24,83.1583,female,1
Cherbourg,1rd Class,18,262.375,female,1
Southampton,2rd Class,26,26,female,0
Southampton,3rd Class,28,7.8958,male,0
Southampton,2rd Class,43,26.25,male,0
Southampton,3rd Class,26,7.8542,female,1
Southampton,2rd Class,24,26,female,1
Southampton,2rd Class,54,14,male,0
Southampton,1rd Class,31,164.8667,female,1
Cherbourg,1rd Class,40,134.5,female,1
Southampton,3rd Class,22,7.25,male,0
Southampton,3rd Class,27,7.8958,male,0
Queenstown,2rd Class,30,12.35,female,1
Southampton,2rd Class,22,29,female,1
Southampton,3rd Class,29.69911765,69.55,male,0
Cherbourg,1rd Class,36,135.6333,female,1
Southampton,3rd Class,61,6.2375,male,0
Southampton,2rd Class,36,13,female,1
Southampton,3rd Class,31,20.525,female,1
Cherbourg,1rd Class,16,57.9792,female,1
Queenstown,3rd Class,29.69911765,23.25,female,1
Southampton,1rd Class,45.5,28.5,male,0
Southampton,1rd Class,38,153.4625,male,0
Southampton,3rd Class,16,18,male,0
Southampton,1rd Class,29.69911765,133.65,female,1
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,1rd Class,29,66.6,male,0
Cherbourg,1rd Class,41,134.5,female,1
Southampton,3rd Class,45,8.05,male,1
Southampton,1rd Class,45,35.5,male,0
Southampton,2rd Class,2,26,male,1
Southampton,1rd Class,24,263,female,1
Southampton,2rd Class,28,13,male,0
Southampton,2rd Class,25,13,male,0
Southampton,2rd Class,36,13,male,0
Southampton,2rd Class,24,13,female,1
Southampton,2rd Class,40,13,female,1
Southampton,3rd Class,29.69911765,16.1,female,1
Southampton,3rd Class,3,15.9,male,1
Southampton,3rd Class,42,8.6625,male,0
Southampton,3rd Class,23,9.225,male,0
Southampton,1rd Class,29.69911765,35,male,0
Cherbourg,3rd Class,15,7.2292,male,0
Southampton,3rd Class,25,17.8,male,0
Cherbourg,3rd Class,29.69911765,7.225,male,0
Southampton,3rd Class,28,9.5,male,0
Southampton,1rd Class,22,55,female,1
Southampton,2rd Class,38,13,female,0
Queenstown,3rd Class,29.69911765,7.8792,female,1
Queenstown,3rd Class,29.69911765,7.8792,female,1
Southampton,3rd Class,40,27.9,male,0
Cherbourg,2rd Class,29,27.7208,male,0
Cherbourg,3rd Class,45,14.4542,female,0
Southampton,3rd Class,35,7.05,male,0
Queenstown,3rd Class,29.69911765,15.5,male,0
Southampton,3rd Class,30,7.25,male,0
Cherbourg,1rd Class,60,75.25,female,1
Cherbourg,3rd Class,29.69911765,7.2292,female,1
Queenstown,3rd Class,29.69911765,7.75,female,1
Cherbourg,1rd Class,24,69.3,female,1
Cherbourg,1rd Class,25,55.4417,male,1
Southampton,3rd Class,18,6.4958,male,0
Southampton,3rd Class,19,8.05,male,0
Cherbourg,1rd Class,22,135.6333,male,0
Southampton,3rd Class,3,21.075,female,0
Cherbourg,1rd Class,29.69911765,82.1708,female,1
Southampton,3rd Class,22,7.25,female,1
Cherbourg,1rd Class,27,211.5,male,0
Cherbourg,3rd Class,20,4.0125,male,0
Southampton,3rd Class,19,7.775,male,0
Cherbourg,1rd Class,42,227.525,female,1
Cherbourg,3rd Class,1,15.7417,female,1
Southampton,3rd Class,32,7.925,male,0
Southampton,1rd Class,35,52,female,1
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,2rd Class,18,73.5,male,0
Southampton,3rd Class,1,46.9,male,0
Southampton,2rd Class,36,13,female,1
Queenstown,3rd Class,29.69911765,7.7292,male,0
Cherbourg,2rd Class,17,12,female,1
Southampton,1rd Class,36,120,male,1
Southampton,3rd Class,21,7.7958,male,1
Southampton,3rd Class,28,7.925,male,0
Cherbourg,1rd Class,23,113.275,female,1
Southampton,3rd Class,24,16.7,female,1
Southampton,3rd Class,22,7.7958,male,0
Southampton,3rd Class,31,7.8542,female,0
Southampton,2rd Class,46,26,male,0
Southampton,2rd Class,23,10.5,male,0
Southampton,2rd Class,28,12.65,female,1
Southampton,3rd Class,39,7.925,male,1
Southampton,3rd Class,26,8.05,male,0
Southampton,3rd Class,21,9.825,female,0
Southampton,3rd Class,28,15.85,male,0
Southampton,3rd Class,20,8.6625,female,0
Southampton,2rd Class,34,21,male,0
Southampton,3rd Class,51,7.75,male,0
Southampton,2rd Class,3,18.75,male,1
Southampton,3rd Class,21,7.775,male,0
Southampton,3rd Class,29.69911765,25.4667,female,0
Southampton,3rd Class,29.69911765,7.8958,male,0
Queenstown,3rd Class,29.69911765,6.8583,male,0
Queenstown,1rd Class,33,90,female,1
Southampton,2rd Class,29.69911765,0,male,0
Southampton,3rd Class,44,7.925,male,1
Southampton,3rd Class,29.69911765,8.05,female,0
Southampton,2rd Class,34,32.5,female,1
Southampton,2rd Class,18,13,female,1
Southampton,2rd Class,30,13,male,0
Southampton,3rd Class,10,24.15,female,0
Cherbourg,3rd Class,29.69911765,7.8958,male,0
Queenstown,3rd Class,21,7.7333,male,0
Southampton,3rd Class,29,7.875,male,0
Southampton,3rd Class,28,14.4,female,0
Southampton,3rd Class,18,20.2125,male,0
Southampton,3rd Class,29.69911765,7.25,male,0
Southampton,2rd Class,28,26,female,1
Southampton,2rd Class,19,26,female,1
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,3rd Class,32,8.05,male,1
Southampton,1rd Class,28,26.55,male,1
Southampton,3rd Class,29.69911765,16.1,female,1
Southampton,2rd Class,42,26,female,1
Southampton,3rd Class,17,7.125,male,0
Southampton,1rd Class,50,55.9,male,0
Southampton,1rd Class,14,120,female,1
Southampton,3rd Class,21,34.375,female,0
Southampton,2rd Class,24,18.75,female,1
Southampton,1rd Class,64,263,male,0
Southampton,2rd Class,31,10.5,male,0
Southampton,2rd Class,45,26.25,female,1
Southampton,3rd Class,20,9.5,male,0
Southampton,3rd Class,25,7.775,male,0
Southampton,2rd Class,28,13,female,1
Southampton,3rd Class,29.69911765,8.1125,male,1
Southampton,1rd Class,4,81.8583,male,1
Southampton,2rd Class,13,19.5,female,1
Southampton,1rd Class,34,26.55,male,1
Cherbourg,3rd Class,5,19.2583,female,1
Southampton,1rd Class,52,30.5,male,1
Southampton,2rd Class,36,27.75,male,0
Southampton,3rd Class,29.69911765,19.9667,male,0
Cherbourg,1rd Class,30,27.75,male,0
Cherbourg,1rd Class,49,89.1042,male,1
Southampton,3rd Class,29.69911765,8.05,male,0
Cherbourg,3rd Class,29,7.8958,male,1
Southampton,1rd Class,65,26.55,male,0
Southampton,1rd Class,29.69911765,51.8625,female,1
Southampton,2rd Class,50,10.5,female,1
